"bioid","chamber","first_name","last_name","party","dw_nominate","seniority","state","state_name","district","followersCount","screen_name","user_id","platform","gender","birthday","age"
"U000031","House","Fred","Upton","R",0.678,28,"MI","Michigan",6,NA,"RepFredUpton",212027388827797,"facebook","M","1953-04-23",61
"U000039","Senate","Tom","Udall","D",-0.428,6,"NM","New Mexico",NA,NA,"senatortomudall",106433512869,"facebook","M","1948-05-18",66
"V000081","House","Nydia","Velázquez","D",-0.525,22,"NY","New York",7,NA,"8037068318",8037068318,"facebook","F","1953-03-28",61
"V000108","House","Peter","Visclosky","D",-0.429,30,"IN","Indiana",1,NA,"repvisclosky",118723661514709,"facebook","M","1949-08-13",65
"V000128","House","Chris","Van Hollen","D",-0.374,12,"MD","Maryland",8,NA,"chrisvanhollen",109304033877,"facebook","M","1959-01-10",55
"V000129","House","David","Valadao","R",0.598,2,"CA","California",21,NA,"CongressmanDavidValadao",105596689621089,"facebook","M","1977-04-14",37
"V000130","House","Juan","Vargas","D",-0.404,2,"CA","California",51,NA,"RepJuanVargas",176942192453747,"facebook","M","1961-03-07",53
"V000131","House","Marc","Veasey","D",-0.375,2,"TX","Texas",33,NA,"CongressmanMarcVeasey",394849110600016,"facebook","M","1971-01-03",43
"V000132","House","Filemon","Vela","D",-0.288,2,"TX","Texas",34,NA,"USCongressmanFilemonVela",510462622331477,"facebook","M","1963-02-13",51
"W000187","House","Maxine","Waters","D",-0.569,24,"CA","California",43,NA,"MaxineWaters",117483585008,"facebook","F","1938-08-15",76
"W000413","House","Edward","Whitfield","R",0.526,20,"KY","Kentucky",1,NA,"RepEdWhitfield",91115765425,"facebook","M","1943-05-25",71
"W000437","Senate","Roger","Wicker","R",0.474,7,"MS","Mississippi",NA,NA,"SenatorWicker",158401580882385,"facebook","M","1951-07-05",63
"W000791","House","Greg","Walden","R",0.647,16,"OR","Oregon",2,NA,"repgregwalden",313301365382225,"facebook","M","1957-01-10",57
"W000795","House","Joe","Wilson","R",0.816,14,"SC","South Carolina",2,NA,"JoeWilson",70150469414,"facebook","M","1947-07-31",67
"W000796","House","Lynn","Westmoreland","R",0.852,10,"GA","Georgia",3,NA,"71389451419",71389451419,"facebook","M","1950-04-02",64
"W000797","House","Debbie","Wasserman Schultz","D",-0.356,10,"FL","Florida",23,NA,"RepDWS",88904724121,"facebook","F","1966-09-27",48
"W000798","House","Tim","Walberg","R",0.776,4,"MI","Michigan",7,NA,"RepWalberg",187654104587692,"facebook","M","1951-04-12",63
"W000800","House","Peter","Welch","D",-0.471,8,"VT","Vermont",1,NA,"PeterWelch",72680720883,"facebook","M","1947-05-02",67
"W000802","Senate","Sheldon","Whitehouse","D",-0.528,7,"RI","Rhode Island",NA,NA,"SenatorWhitehouse",194172833926853,"facebook","M","1955-10-20",59
"W000804","House","Robert","Wittman","R",0.635,8,"VA","Virginia",1,NA,"RepRobWittman",38932542633,"facebook","M","1959-02-03",55
"W000805","Senate","Mark","Warner","D",-0.261,5,"VA","Virginia",NA,NA,"MarkRWarner",7935122852,"facebook","M","1954-12-15",60
"W000806","House","Daniel","Webster","R",0.702,4,"FL","Florida",10,NA,"RepWebster",188572961157305,"facebook","M","1949-04-27",65
"W000808","House","Frederica","Wilson","D",-0.441,4,"FL","Florida",24,NA,"RepWilson",162327487151626,"facebook","F","1942-11-05",72
"W000809","House","Steve","Womack","R",0.437,4,"AR","Arkansas",3,NA,"RepSteveWomack",135898413136490,"facebook","M","1957-02-18",57
"W000810","House","Rob","Woodall","R",0.977,4,"GA","Georgia",7,NA,"RepRobWoodall",172573036140374,"facebook","M","1970-02-11",44
"W000812","House","Ann","Wagner","R",0.723,2,"MO","Missouri",2,NA,"RepAnnWagner",215485388588143,"facebook","F","1962-09-13",52
"W000813","House","Jackie","Walorski","R",0.597,2,"IN","Indiana",2,NA,"RepJackieWalorski",466876036704525,"facebook","F","1963-08-17",51
"W000814","House","Randy","Weber","R",0.918,2,"TX","Texas",14,NA,"TXRandy14",128891177274584,"facebook","M","1953-07-02",61
"W000815","House","Brad","Wenstrup","R",0.779,2,"OH","Ohio",2,NA,"RepBradWenstrup",124462944390458,"facebook","M","1958-06-17",56
"W000816","House","Roger","Williams","R",0.744,2,"TX","Texas",25,NA,"RepRogerWilliams",322383274535068,"facebook","M","1949-09-13",65
"W000817","Senate","Elizabeth","Warren","D",-0.541,1,"MA","Massachusetts",NA,NA,"senatorelizabethwarren",131559043673264,"facebook","F","1949-06-22",65
"Y000033","House","Don","Young","R",0.491,42,"AK","Alaska",1,NA,"RepDonYoung",7476269851,"facebook","M","1933-06-09",81
"Y000062","House","John","Yarmuth","D",-0.38,8,"KY","Kentucky",3,NA,"214258646163",214258646163,"facebook","M","1947-11-04",67
"Y000063","House","Kevin","Yoder","R",0.843,4,"KS","Kansas",3,NA,"CongressmanKevinYoder",154026694650252,"facebook","M","1976-01-08",38
"Y000064","House","Todd","Young","R",0.72,4,"IN","Indiana",9,NA,"RepToddYoung",186203844738421,"facebook","M","1972-08-24",42
"Y000065","House","Ted","Yoho","R",0.947,2,"FL","Florida",3,NA,"CongressmanTedYoho",563532937006022,"facebook","M","1955-04-13",59
